states,party
AL,Republican
AK,Republican
AZ,Democrat
AR,Republican
CA,Democrat
CO,Democrat
CT,Democrat
DE,Democrat
DC,Democrat
FL,Republican
GA,Democrat
HI,Democrat
ID,Republican
IL,Democrat
IN,Republican
IA,Republican
KS,Republican
KY,Republican
LA,Republican
ME,Democrat
MD,Democrat
MA,Democrat
MI,Democrat
MN,Democrat
MS,Republican
MO,Republican
MT,Republican
NE,Democrat
NV,Democrat
NH,Democrat
NJ,Democrat
NM,Democrat
NY,Democrat
NC,Republican
ND,Republican
OH,Republican
OK,Republican
OR,Democrat
PA,Democrat
RI,Democrat
SC,Republican
SD,Republican
TN,Republican
TX,Republican
UT,Republican
VT,Democrat
VA,Democrat
WA,Democrat
WV,Republican
WI,Democrat
WY,Republican
